Feature_1	Feature_2	Feature_3	Feature_4	Feature_5	Feature_6	Feature_7	Feature_8	Feature_9	Feature_10	Target
-2.273576729	0.025135352	-0.098951003	-1.910958933	-0.49093005	-2.612119812	-2.340507041	-0.072464426	2.671114855	-0.658414665	1
-2.633602296	-1.064530453	0.59606849	-0.31590674	3.620619083	0.24313071	-4.924947012	1.309550899	-0.441908871	8.134933141	1
2.56090952	1.289750434	1.271518843	2.424126933	-1.311380987	-0.850302455	2.476813577	0.341371691	2.234609029	-5.429692049	0
0.255631586	-3.290428252	1.514159573	-0.085142853	1.126927036	-4.755379355	0.820723426	2.578250709	0.36216954	-3.539634777	0
-1.250909883	0.373712914	1.22633263	1.505599252	-0.71809569	1.228442238	2.78294008	-1.623311182	2.992205579	-6.717888986	0
4.510747375	0.521451316	2.410476125	4.977659627	-3.511299912	-3.82458937	-2.134791062	0.189601842	1.251138504	-5.485700581	0
-0.752127788	1.237345737	1.504398123	-0.118680115	-0.745348511	-3.384049287	-0.556242164	-1.590927703	3.178916255	-4.167200386	1
1.457696331	2.01290743	2.436644499	1.089231216	-0.496211147	-1.041318113	-0.123449961	-0.709292835	0.766180441	-0.949760171	0
-0.987528361	0.633497357	1.125267087	-1.752350805	-2.518287	-0.97227994	-0.136130352	0.28480924	2.213426349	-3.130534687	1
-0.715045226	1.805223756	-0.211739789	-1.287535284	3.458982454	-1.449131544	1.762462881	-2.54463485	0.065498164	1.448749374	1
4.494313566	1.845880561	1.522402927	2.193956126	-1.563150451	-2.557604044	0.647819325	-0.301274359	-0.678080371	-2.14208584	0
-1.552048789	0.54253709	-1.972396748	-1.981382083	0.788603841	-0.067038379	3.356185744	-2.232021996	0.95217634	-2.89770745	1
0.456956307	2.764600268	0.409085746	-0.307449464	0.990115628	-0.367326964	-1.084504801	-1.52829927	0.197680608	3.17888536	1
0.629964244	-2.027121165	0.610506539	-0.862865751	1.028379748	-2.808856397	-0.082414917	2.743830017	-0.763670487	0.616796804	0
0.260023441	-0.015766554	1.048717501	1.810238399	-1.753387318	0.481072094	2.168334013	-0.252722885	2.36811692	-6.423249275	0
-2.490021029	-0.156633088	-2.977098379	-1.403437351	0.726416982	-4.399129045	-0.559288882	-5.282917595	1.036299185	-3.548600577	1
1.906744967	-2.509582778	1.558645421	1.844858329	5.257796318	-2.064271804	-1.631753488	5.957786228	-1.127107481	6.785736902	0
0.639063315	1.845286356	0.81810079	-0.561927578	-0.378831332	-1.519504597	0.259809018	-0.315243946	1.482945022	-0.845154869	1
-1.494914457	0.774948373	-1.409100608	-2.521483887	-1.084345489	1.391436512	0.887031957	-1.208239499	0.035240824	-0.071898418	1
-0.507065197	2.411008769	-2.358853878	-1.783241325	-1.09043616	-1.345068972	1.295054861	-3.32908714	1.749362759	-2.761261984	1
1.320420188	-1.521323588	0.176854544	1.927278342	-3.745995547	-2.492179723	-2.063510994	-1.457964118	-0.909712742	-4.746122061	0
-0.062996158	1.945468556	1.202103851	0.500526538	0.352584877	0.872037967	-1.066980758	-2.137687707	-0.504854454	1.990020502	1
1.459275382	2.821966654	-0.105681345	-1.115876922	-2.429410941	-0.455717033	-3.245397031	1.34668008	1.194107511	3.580603784	1
1.551402355	2.858788034	0.873786372	-0.604328707	-0.445647328	-1.274989541	2.085510651	-2.432143325	-0.032567313	-1.71612085	0
-3.762388874	-0.373153007	-0.17146055	-3.236609121	1.930085184	-2.085499149	1.866965945	-1.9097217	1.99147124	-2.663742652	1
0.767652831	3.100824235	0.682574353	-1.22155196	-0.848519263	0.475865334	-1.151249995	1.15950939	1.722066057	2.968981584	1
-6.368395553	1.028860239	0.38526161	-3.27606902	2.139188789	2.312722782	2.380887592	-3.831575004	3.131761733	-2.257922809	0
1.369098647	1.721057265	2.525605428	1.069985711	1.075683513	-1.593864227	-0.068332932	-1.65016357	-0.674421633	0.483066316	1
-1.072911859	0.776974723	-1.770241501	-0.834560893	0.985939898	-1.293039211	-1.573524145	-2.605201894	-0.208660371	1.837687048	1
-3.104420341	-3.12613551	-1.148523389	-2.233933892	-2.479192181	-1.481223731	-1.241856822	1.7445264	2.329578377	-4.124169853	1
3.264423228	0.719083943	-1.998942584	2.04698389	-3.978417864	-1.799077321	2.66960443	-6.243880451	-3.003320169	-7.938627355	1
-0.391841321	0.619162682	-1.726693271	-1.435636748	-2.166102957	-3.624268163	-1.553119718	-3.761774754	-0.154941428	-2.605019669	1
-0.905229826	0.383851019	2.875641451	-2.949666394	0.961932153	-3.153036024	0.902971361	1.758536528	1.658019466	-0.609090975	1
-1.695447334	-1.519938074	1.22118501	-0.19620829	-0.236058498	-1.745970146	0.080636002	-5.306925067	-3.225614241	-3.329500433	1
-3.234512302	0.355245671	0.013746022	-2.520740044	0.536763618	-1.40741488	-0.354753712	-0.643436102	3.053157372	-1.290405637	1
1.643850583	2.690754814	2.294820151	0.588549137	0.044204414	-0.171930666	1.878120559	-0.8566611	0.756148605	-1.244669847	0
0.110177341	-0.673712085	-0.813161088	-0.043678968	1.240635006	-0.780867667	0.074507042	0.323789268	-0.506012019	0.960601691	0
-3.28458259	-0.063835036	-2.661213333	-2.206451439	1.984098427	-0.887191341	-2.113034304	0.399587585	2.940508661	2.74318907	1
2.257655205	0.978565997	0.075727707	1.083822456	-2.3315419	-1.267665681	-3.419750911	-0.117340883	-1.053487472	1.840168779	1
-2.028546152	0.575980088	-0.94471135	-2.215552525	-0.318746768	-0.46989524	-0.363908332	-0.709575891	1.66578034	-0.315254916	1
7.93104659	2.106448326	1.742991615	3.447156961	-3.526075684	-4.748571036	-0.961607197	0.653632161	-2.160529724	-1.740343142	0
-3.427315644	0.986602841	-2.026322342	-4.887393324	2.032883217	0.448816357	2.289949026	-0.305154543	1.848956762	1.429994315	1
2.39546925	0.22822316	-1.515950595	2.696664675	2.260917679	-1.118270915	-1.411865495	-0.071943788	-1.234032151	3.426509251	0
1.527551574	-2.922757382	0.199819682	4.702924311	-4.789192162	-2.478395375	-1.446989296	-1.990203415	0.196253765	-9.807538984	0
0.544974881	-0.075713545	0.358413712	0.382486307	-1.545242288	0.025573789	1.9449321	-0.184078179	0.711281628	-4.181530321	0
-2.233655815	-0.534796618	0.421111945	-0.534167418	2.408405559	-0.439892616	3.134801876	-3.355211476	-0.14124522	-3.3132187	1
6.074994128	3.310224928	2.887128385	2.79217199	-2.258099903	-3.159309238	-0.146071597	-0.194990104	-0.758040467	-1.344542787	0
-1.219723376	0.175643644	0.217786936	-1.200621455	-0.493861992	-0.304953112	0.174164026	-1.670714194	-0.133044178	-1.110973625	0
-2.784212602	1.392362833	-1.054697813	-5.170166842	1.722796585	-0.843124685	2.086222327	1.309677492	3.109785369	1.107654412	1
3.453548964	2.304415355	0.923528181	0.983574044	-2.285992647	-4.765098638	-0.514572787	-4.176610797	-1.677022154	-3.175353239	0
-3.222912319	-0.826215753	2.724326969	0.402178939	2.81411409	-0.148496224	-2.020770597	1.909938697	3.412144316	1.285045209	0
-2.350037069	0.633854037	0.951913708	-2.666142498	0.106825146	0.348923098	-3.571724777	3.25208437	2.54264622	4.938675589	1
-1.089590403	-0.470546251	-0.147348178	0.64647572	-0.877218561	0.39370261	1.964929926	-0.317840128	2.666887007	-5.443479974	0
-0.722735975	2.129602024	0.253365886	-2.498984833	0.477420022	-0.046654649	0.014413434	1.245141647	2.086713412	2.342954682	1
0.831213502	3.014455309	-1.809812798	-0.393992673	1.358454585	0.996756587	-4.406645703	1.699929363	0.840068931	9.446320001	1
1.189270907	2.296553564	-0.17204699	-0.514313448	-2.857764605	-0.317044901	1.749573135	-2.120613121	0.856877646	-4.023182886	1
0.449092277	1.410664303	-2.016289583	-0.610661351	-1.96015262	-0.427777701	0.891159268	-1.35686648	1.424795763	-2.753468693	1
-0.414033113	1.589208015	-0.672869106	-0.53606799	0.513253312	-0.340854595	0.103617434	-3.209306414	-0.537774039	0.452000049	1
0.319571495	-0.408976498	-2.001249617	0.859670174	-0.884972734	-2.627237199	0.029890222	-4.983584722	-1.758144928	-3.778908195	1
1.133407402	0.829882333	0.66771291	-0.488424235	0.117726023	-0.833687122	2.454607124	-1.083448476	-0.888951225	-1.692722563	1
-0.583272093	2.083469827	-0.813934078	-0.561108614	2.491234827	-0.710485917	-5.253206011	0.39828058	0.5783012	8.972922449	1
-3.713024071	-0.580370208	1.069760839	-2.186971768	0.28521077	-2.891028502	-0.619125796	-3.253655478	1.314393289	-3.324795176	1
0.470856969	-0.441235285	-0.445128598	1.644822833	-1.011964051	-1.715718289	0.941693059	-1.213810117	1.555704374	-5.36541536	0
-3.429619277	0.109349344	-0.395342972	-2.202040732	3.253732504	1.025993946	-4.350510212	0.481732929	-0.208210081	8.875956382	0
-2.768607675	1.022165835	-0.508026616	-4.005191217	1.123426792	-0.607755799	0.671223144	-0.374721841	1.606281476	1.203881612	1
0.278926665	0.711586492	-1.473131476	1.673479991	2.690475336	1.521673662	-1.482048366	-0.3163835	-0.549876494	4.993258464	0
0.556988151	3.468500099	1.01570752	2.31735254	4.07379995	-0.574253844	-0.401598945	-4.072844464	0.248280673	3.099035029	1
0.166936946	-1.610512149	0.090699996	0.523793115	-1.987555097	-0.725727916	-1.31227167	-1.240322859	-2.095775487	-1.639002381	1
-4.28651039	-3.237738023	-0.693587139	-2.282835951	-2.677430372	-3.992473238	5.334945685	-6.385894569	1.363451525	-15.94437872	1
-0.583572395	-0.931810339	-1.025381349	0.146077987	0.377705144	-1.978585987	0.023072881	0.148251111	1.626926578	-2.292921224	0
-0.665303394	-0.206215669	1.406253312	0.681260005	-1.650354551	0.249573179	0.181769961	-1.909143919	0.019710284	-3.568659988	0
0.733920482	3.162143639	2.815417015	1.934732617	1.517651229	1.743156343	-1.57738043	-0.358623823	0.973107048	3.96756662	1
-1.03544148	-2.095278327	2.133282345	0.767771099	4.776325974	0.075729121	0.124908583	4.933589825	1.48337565	3.436166395	0
-1.544846424	0.037422215	0.706389123	-0.471718881	-0.211465292	0.177049121	-0.295553261	-0.78369165	0.971209402	-1.076808373	0
-4.970847668	-1.743551068	-0.407837391	-5.641580212	0.279776193	-2.408360159	2.359104859	-0.47933361	2.264656144	-4.330402018	1
4.39309196	0.645315135	0.725057872	3.476554935	-3.118729885	-3.460896841	0.849922247	-1.52651117	-0.081501365	-6.711882449	0
0.744266456	-0.669369295	-0.075292352	1.029445432	-1.479151196	-2.10551711	-0.614069703	-1.550323973	-0.4916175	-3.124418439	0
-1.279459628	1.538229462	2.317353012	0.89934385	-0.080931741	1.722234309	2.47130305	-2.679797652	1.763856334	-4.324638238	0
-2.599629579	1.799762846	1.791298962	-0.933542814	3.064854807	2.275304655	0.121315765	-0.133304548	1.899734784	3.469713062	1
0.688084541	2.637570028	0.133881683	-1.182415158	0.135911207	1.72757391	0.760112517	1.326156525	1.189168203	2.773132024	1
1.904150871	-1.128778698	-2.988885224	-0.601982442	-0.359280151	-5.966195342	-2.084256523	-1.991862259	-2.651150131	0.141718317	0
1.208598249	2.043338069	2.313946517	2.920022813	-0.599178099	-0.644887683	0.963456198	-1.247891507	2.983189351	-4.652243221	0
-1.337905443	-0.02160499	-1.605042756	-2.527266703	1.184316874	-4.60927436	-2.989927002	-1.807903215	-0.338821682	2.563115866	0
-1.979373366	0.732588615	1.022081117	-0.670381357	1.862769634	-2.050541599	1.252541684	-2.543486469	1.956597121	-2.759813366	1
-0.342076924	0.283909407	3.073204716	0.971245584	1.162578756	-0.880471983	-3.598162713	3.049217816	2.165737638	3.419112248	0
-1.400079922	0.737965991	0.61659522	-0.311771793	2.502442709	-0.509206478	1.925166515	-2.371958536	0.622503578	-1.0864675	1
3.879578855	1.021303018	-0.141519926	0.539061348	-2.590802111	-3.599575754	0.278839244	-1.868313745	-2.33021998	-2.514167581	0
3.666194025	3.825075228	0.836455831	0.387842903	-4.264524358	0.391955934	-0.24803313	0.469669044	0.953996927	-0.791542092	1
2.351850589	1.250657058	0.734059514	0.932666216	-2.12166164	-1.636068525	0.902430837	-0.46193325	0.581303295	-3.51830031	0
-2.212180105	-1.282847904	-1.057166706	-2.35229932	-0.76852645	1.165092973	5.060751193	0.017886333	1.714416593	-6.356487323	1
-1.687457548	0.12695819	-1.20545685	-1.639453159	-1.248826196	-3.261292059	-0.07487447	-3.47520659	1.223945518	-4.437281437	1
-1.08302345	0.452062785	1.615227976	1.190582596	2.021619676	-1.708561481	0.925014896	-3.797920481	0.315504055	-2.764902085	1
-1.191586353	-0.903712399	0.83074034	-1.575100879	2.599522074	-0.908204993	-3.105015395	2.391653771	-0.935260389	6.725365249	0
-2.121011068	-1.359995715	-0.431258492	-1.391495901	-1.186261277	-0.488591701	0.161779857	-0.034420093	1.345872354	-3.111872394	1
-0.170946645	-0.019593595	-2.022281001	-1.390384563	0.20670008	-1.814946094	1.962825699	-3.087457019	-1.308705016	-2.241532236	0
-2.917042347	-3.626224897	4.391527639	-0.972979437	1.107296849	-2.490180576	1.953190968	4.164235121	3.643764062	-6.039973494	0
3.458927185	-1.733341069	-0.578108287	2.757009084	1.004367332	-1.821639771	1.567859237	1.7115007	-1.648898565	-1.32937928	0
-0.509536312	2.053385617	0.264985132	-0.61632631	-0.272557266	1.955598461	0.796795336	0.313068791	2.097738062	0.313149234	1
1.323012206	1.569657487	1.33589881	-0.630988884	-0.737341679	-1.308030494	-0.410785187	0.882711085	0.570299466	0.67330717	0
-4.146269282	0.665101469	1.98261912	-1.950437415	0.916379277	1.345811418	-3.715127809	0.590100633	2.395058037	4.125067798	0
-1.575053948	-0.071820633	1.719428912	-1.866708967	-2.478145768	-0.67969755	-0.106155909	1.141835762	2.54107841	-3.474633464	1
1.02562163	0.816924962	-0.253676646	-0.307264637	-0.218908609	0.321745919	-2.654889459	0.859942711	-1.44862707	5.022839256	0
3.647700434	-0.572021718	0.044310833	3.179647158	-2.332906703	-3.535579175	-0.467865626	-0.328092693	-0.308087082	-4.6979484	0
-1.751502423	-0.838303923	-0.934794577	-2.078444094	-3.350569683	-3.834628054	0.123000476	-2.552951722	1.845798085	-7.426306368	1
-2.993289684	-0.295849335	1.60091271	-1.237633896	2.402766525	-1.993109779	0.373731829	-3.178727672	0.256046301	-1.336888735	1
-5.143611556	-2.005751424	1.864645975	-4.03774668	-0.878699668	-1.779903391	-0.176220621	-0.188407331	2.379186389	-4.072100697	0
-2.076046024	-1.406678113	-1.067928605	-2.058427244	-3.644193467	-2.135165759	3.02965841	-2.558346004	1.995987702	-10.37620038	1
-4.592497036	-1.243118761	0.511189311	-3.316152484	0.041955309	-1.219856578	0.70068624	-1.716591945	1.847860742	-3.641040348	1
3.619228612	5.30003045	-0.653050821	-0.231179063	-2.514183913	-1.892354916	-4.045863926	-0.795291206	0.629551195	4.861275814	1
4.392825083	4.680763077	-1.069809949	-0.683815577	-6.184235661	-1.608837164	-0.51068604	-1.907643931	0.315273759	-2.381608379	1
